Device: cuda
dir_path /home/jlee859/.cache/atomgptlab/alignn_ff/v12.2.2024_dft_3d_307k
max_neighbors: 12  cutoff: 4.0
  ASE sanity check:
    size  1x  n_atom=4      ase_expected=48       got=48       OK
    size  2x  n_atom=32     ase_expected=384      got=384      OK
    size  3x  n_atom=108    ase_expected=1296     got=1296     OK
    size  4x  n_atom=256    ase_expected=3072     got=3072     OK
  Line-graph equivalence check (old DGL vs sparse v5):
    size  2x  n_atom=32     n_lg_edges=4608      max |Δcos(θ)|=0.00e+00  OK
    size  3x  n_atom=108    n_lg_edges=15552     max |Δcos(θ)|=0.00e+00  OK
    size  4x  n_atom=256    n_lg_edges=36864     max |Δcos(θ)|=0.00e+00  OK
  All verification passed.

size     n_atom        nl      line       graph   inference      E (eV)
---------------------------------------------------------------------------
   1          4   0.090s   0.171s     0.260s     0.769s       0.604
   2         32   0.002s   0.002s     0.005s     0.008s       0.604
   3        108   0.002s   0.002s     0.004s     0.009s       0.604
   4        256   0.013s   0.003s     0.016s     0.011s       0.604
   5        500   0.004s   0.003s     0.007s     0.009s       0.604
   6        864   0.005s   0.003s     0.008s     0.009s       0.604
   7       1372   0.007s   0.004s     0.010s     0.011s       0.604
   8       2048   0.009s   0.004s     0.013s     0.011s       0.604
   9       2916   0.021s   0.010s     0.031s     0.019s       0.604
  10       4000   0.025s   0.018s     0.042s     0.022s       0.604
  11       5324   0.050s   0.013s     0.063s     0.026s       0.604
  12       6912   0.056s   0.020s     0.076s     0.031s       0.604
  13       8788   0.071s   0.021s     0.091s     0.038s       0.604
  14      10976   0.088s   0.024s     0.112s     0.054s       0.604
  15      13500   0.104s   0.025s     0.129s     0.063s       0.604
  16      16384   0.062s   0.014s     0.076s     0.044s       0.604
  17      19652   0.070s   0.016s     0.087s     0.052s       0.604
  18      23328   0.160s   0.049s     0.209s     0.071s       0.604
  19      27436   0.095s   0.022s     0.117s     0.072s       0.604
  20      32000   0.117s   0.026s     0.144s     0.083s       0.604
  21      37044   0.144s   0.030s     0.174s     0.096s       0.604
  22      42592   0.169s   0.033s     0.202s     0.110s       0.604
  23      48668   0.188s   0.036s     0.225s     0.124s       0.604
  24      55296   0.210s   0.041s     0.251s     0.141s       0.604
  25      62500   0.236s   0.050s     0.286s     0.158s       0.604
  26      70304   0.268s   0.051s     0.318s     0.178s       0.604
  27      78732   0.315s   0.058s     0.373s     0.198s       0.604
  28      87808   0.346s   0.062s     0.409s     0.220s       0.604
  29      97556   0.378s   0.074s     0.452s     0.245s       0.604
  30     108000   0.411s   0.080s     0.491s     0.270s       0.604
  31     119164   0.499s   0.083s     0.582s     0.298s       0.604
  32     131072   0.550s   0.092s     0.642s     0.329s       0.604
  33     143748   0.591s   0.100s     0.691s     0.363s       0.604
  34     157216   0.650s   0.110s     0.760s     0.397s       0.604
  35     171500   0.677s   0.119s     0.796s     0.434s       0.604
  36     186624   0.736s   0.130s     0.865s     0.473s       0.604
  37     202612   0.793s   0.143s     0.936s     0.513s       0.604
  38     219488   0.854s   0.151s     1.004s     0.556s       0.604
  39     237276   0.919s   0.162s     1.081s     0.602s       0.604
  40     256000   0.990s   0.176s     1.166s     0.650s       0.604
  41     275684   1.114s   0.195s     1.309s     0.700s       0.604
  42     296352   1.204s   0.202s     1.407s     0.752s       0.604
  43     318028   1.276s   0.220s     1.496s     0.807s       0.604
  44     340736   1.361s   0.239s     1.599s     0.864s       0.604
  45     364500   1.439s   0.255s     1.694s     0.925s       0.604
  46     389344   1.523s   0.270s     1.793s     0.986s       0.604
  47     415292   1.606s   0.288s     1.895s     1.052s       0.604
  48     442368   1.704s   0.302s     2.006s     1.120s       0.604
  49     470596   1.819s   0.325s     2.145s     1.193s       0.607
  50     500000   1.925s   0.346s     2.270s     1.265s       0.639
  51     530604   2.118s   0.368s     2.486s     1.345s       0.672
  52     562432   2.251s   0.392s     2.644s     1.424s       0.703
  53     595508   2.381s   0.440s     2.821s     1.510s       0.731
  54     629856   2.464s   0.437s     2.901s     1.595s       0.757
  55     665500   2.625s   0.458s     3.083s     1.687s       0.781
  56     702464   2.750s   0.497s     3.248s     1.779s       0.804
  57     740772   2.745s   0.512s     3.257s     1.880s       0.825
  58     780448   2.853s   0.541s     3.393s     1.999s       0.845
  ! stopped at size 59 (n=821516): OutOfMemoryError: CUDA out of memory. Tried to allocate 28.21 GiB. GPU 0 has a total capacity of 178.34 GiB of which 20.97 GiB is free. Including non-PyTorch memory, this process has 157.36 GiB memory in use. Of the allocated memory 135.23 GiB is allocated by PyTorch, and 17.29 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)

Saved plot: scaling_alignn_v6.png
Saved data: scaling_alignn_v6.npz
